[2026-06-18T09:28:46.060+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-06-18T09:28:46.253+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: extract.trigger_transform_dag manual__2026-06-18T08:52:46.047066+00:00 [queued]>
[2026-06-18T09:28:46.261+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: extract.trigger_transform_dag manual__2026-06-18T08:52:46.047066+00:00 [queued]>
[2026-06-18T09:28:46.262+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 1
[2026-06-18T09:28:49.935+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:56061 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.936+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:56137 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.937+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:56359 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.938+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:56437 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.941+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:56993 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.942+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:57096 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.943+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:57363 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.944+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:57439 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.950+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:58350 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.952+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:58411 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.954+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:58691 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.955+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:58751 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.958+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:59673 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.960+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:59730 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.961+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:59992 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.963+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:60053 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.965+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:60540 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.966+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:60605 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.967+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:60649 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.968+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:60704 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.969+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:61030 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.971+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:61095 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.972+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:61139 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.973+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:61194 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.975+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:61582 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.976+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:61643 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.977+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:61746 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.978+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:61845 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.979+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:61916 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.980+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:62005 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.981+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:62101 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.982+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:62203 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.983+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:62274 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.984+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:62365 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.986+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:62601 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.988+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:62703 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.989+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:62774 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.990+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:62865 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.992+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:63174 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.993+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:63276 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.994+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:63347 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.995+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:63434 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.996+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:63788 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.997+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:63849 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.999+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:64279 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.000+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:64317 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.003+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:65239 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.004+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:65299 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.008+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:66466 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.009+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:66535 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.012+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:67218 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.013+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:67310 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.015+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:67578 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.016+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:67651 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.017+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:67857 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.018+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:67939 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.019+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:68121 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.020+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:68182 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.022+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:68601 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.023+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:68682 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.024+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:68739 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.025+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:68828 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.027+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:69459 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.028+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:69556 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.030+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:69698 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.030+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:69749 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.032+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:70207 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.033+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:70268 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.034+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:70524 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.035+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:70583 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.037+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:71016 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.038+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:71077 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.512+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:175 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.514+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:222 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.516+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1130 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.517+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1223 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.517+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1246 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.518+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1374 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.519+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1407 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.520+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1463 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.520+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1651 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.521+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1718 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.523+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:1993 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.524+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:2078 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.525+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:2375 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.526+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:2436 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.529+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:3953 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.530+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:4056 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.530+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:4087 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.531+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:4146 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.532+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:4185 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.532+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:4235 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.534+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:5169 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.535+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:5225 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.535+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:5262 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.536+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:5318 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.538+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:6368 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.539+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:6428 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.540+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:6469 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.541+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:6519 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.542+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:6954 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.543+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:7027 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.544+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:7198 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.545+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:7264 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.545+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:7309 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.546+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:7371 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.548+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:8153 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.549+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:8213 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.549+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:8253 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.550+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:8299 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.552+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:9388 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.553+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:9444 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.555+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:10445 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.556+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:10501 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.556+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:10538 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.557+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:10593 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.559+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:10836 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.560+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:10892 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.560+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:10929 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.562+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:10985 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.562+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:11144 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.563+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:11195 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.564+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:11333 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.565+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:11390 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.566+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:12213 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.567+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:12296 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.568+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:12352 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:50.569+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:12437 SyntaxWarning: invalid escape sequence '\d'
